GCM,var,from_year,to_year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bccr_bcm2_0,tas,1960,1979,-10.59395662,-8.789350248,-4.371808364,2.247250146,8.698442264,14.48174859,18.03586576,17.62342709,13.28202709,6.45036959,-1.464343977,-7.316922766
cccma_cgcm3_1,tas,1960,1979,-7.8347308,-6.939539579,-2.382061281,3.595440986,9.814921315,14.93993714,18.02106025,17.63436669,13.03644727,6.829190147,0.173117925,-4.817163139
cnrm_cm3,tas,1960,1979,-6.043296909,-4.673330902,-1.216920962,3.721386118,9.726128252,14.85158952,17.88497864,17.74860761,13.82546046,7.232933977,0.711596862,-3.821851545
csiro_mk3_5,tas,1960,1979,-0.898099942,0.432862051,2.80468438,7.620923278,13.78848426,19.19067086,22.20516443,21.57076357,16.48145285,10.03723868,3.761648278,-0.294723739
gfdl_cm2_0,tas,1960,1979,-8.276516426829362,-6.507834037342688,-3.8079816480532376,2.508579549051035,8.557306151735274,13.802713674797992,16.497996037736428,15.204151943139482,10.335787423530642,4.350154810118683,-2.1727581452254627,-6.446327494860425
gfdl_cm2_1,tas,1960,1979,-6.437222145443011,-5.63528446187999,-2.8295839076621188,3.1091793374222707,9.842634472169816,15.573946831526916,18.162853212425926,16.83600355799779,11.921522259416642,5.739850736318191,-0.4992226769507193,-4.982259507784319
ingv_echam4,tas,1960,1979,-2.8003872992684196,-1.879841716511325,1.048374585082274,6.0314593612388405,11.865626537294096,17.272994196028876,20.3626669410438,19.971163552297753,15.995361099812758,9.72692871093788,3.103128485547306,-1.6430737883078934
inmcm3_0,tas,1960,1979,-5.109404566283088,-3.704736761915361,-0.6220557386443979,4.944187307001568,10.57828291514697,15.23976405422105,17.457368313224354,16.6046507114794,12.841419020199782,7.160730832829287,1.1809779141018706,-2.535462491231971
ipsl_cm4,tas,1960,1979,-2.388200679028509,-2.4915624223759236,0.6564186077157831,4.915130767441386,10.583185590710857,15.36640492579434,18.291225366758848,17.258499716285634,12.809649764748945,7.103409384254295,1.8755411733122356,-1.8121015972037724
miroc3_2_medres,tas,1960,1979,-3.615937230593311,-3.183632372621289,0.14382451311864247,5.571703979797079,12.08703042503522,17.076541662810623,19.33265020127879,18.247844058678098,14.074328719828069,8.22213638572189,2.261979557332201,-1.9980562738063439
miub_echo_g,tas,1960,1979,-5.091784888670255,-4.1774308354489325,-0.4905693073229307,3.852917183664457,8.887936713392937,13.343744444430511,16.29266867316392,16.04267027134054,12.956651492605372,7.373262248428358,1.3909099702529373,-3.1379018579040987
mpi_echam5,tas,1960,1979,-5.284699894246022,-3.905635462734856,0.10843846803880129,5.5878115532714725,10.958233536031537,15.773626237141585,17.721114313214766,16.761711367943978,12.941002824358197,7.008925668616758,0.5460391532161515,-3.838353563722434
mri_cgcm2_3_2a,tas,1960,1979,-6.275913229013637,-4.970676831178161,-1.493515357114791,4.5362755830146515,10.671143491370605,15.196079016325678,17.579549432689817,16.1150534765383,11.94958549366484,6.149599222768228,-0.19482555056538617,-4.834259337617519
ukmo_hadcm3,tas,1960,1979,-7.329204454682497,-6.478527801589927,-2.15975567824916,4.432476700095435,10.471434633631786,15.014023321822172,17.54418990974725,16.785460208121588,12.567731062965917,6.519913062193927,-0.34169268905426164,-5.245114942439873
ukmo_hadgem1,tas,1960,1979,-9.17344296424705,-8.490114055072654,-4.168895807052145,2.319347276948488,9.104407255784706,15.477975441035959,18.652389031690927,17.94140137936368,13.677790235105462,6.099298795856591,-1.224219800231045,-7.1646088483623265

